,,POTATO,CABBAGE,BEETROOT,CARROT
Aleja Niepodległości 162,10,42.0,20.0,12.0,30.0
Złota 44,11,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,11,41.0,19.0,12.0,29.0
Mińska 25A,11,41.0,19.0,13.0,30.0
Częstochowska 4/6,11,42.0,20.0,11.0,30.0
Ostrobramska 71,11,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,11,42.0,20.0,11.0,30.0
Sardyńska 1,11,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,11,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,11,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,11,42.0,20.0,12.0,30.0
Złota 44,12,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,12,41.0,19.0,12.0,29.0
Mińska 25A,12,41.0,19.0,13.0,30.0
Częstochowska 4/6,12,42.0,20.0,11.0,30.0
Ostrobramska 71,12,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,12,42.0,20.0,11.0,30.0
Sardyńska 1,12,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,12,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,12,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,12,42.0,20.0,12.0,30.0
Złota 44,13,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,13,41.0,19.0,12.0,29.0
Mińska 25A,13,41.0,19.0,13.0,30.0
Częstochowska 4/6,13,42.0,20.0,11.0,30.0
Ostrobramska 71,13,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,13,42.0,20.0,11.0,30.0
Sardyńska 1,13,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,13,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,13,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,13,42.0,20.0,12.0,30.0
Złota 44,14,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,14,41.0,19.0,12.0,29.0
Mińska 25A,14,41.0,19.0,13.0,30.0
Częstochowska 4/6,14,42.0,20.0,11.0,30.0
Ostrobramska 71,14,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,14,42.0,20.0,11.0,30.0
Sardyńska 1,14,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,14,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,14,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,14,42.0,20.0,12.0,30.0
Złota 44,15,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,15,41.0,19.0,12.0,29.0
Mińska 25A,15,41.0,19.0,13.0,30.0
Częstochowska 4/6,15,42.0,20.0,11.0,30.0
Ostrobramska 71,15,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,15,42.0,20.0,11.0,30.0
Sardyńska 1,15,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,15,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,15,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,15,42.0,20.0,12.0,30.0
Złota 44,16,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,16,41.0,19.0,12.0,29.0
Mińska 25A,16,41.0,19.0,13.0,30.0
Częstochowska 4/6,16,42.0,20.0,11.0,30.0
Ostrobramska 71,16,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,16,42.0,20.0,11.0,30.0
Sardyńska 1,16,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,16,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,16,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,16,42.0,20.0,12.0,30.0
Złota 44,17,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,17,41.0,19.0,12.0,29.0
Mińska 25A,17,41.0,19.0,13.0,30.0
Częstochowska 4/6,17,42.0,20.0,11.0,30.0
Ostrobramska 71,17,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,17,42.0,20.0,11.0,30.0
Sardyńska 1,17,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,17,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,17,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,17,42.0,20.0,12.0,30.0
Złota 44,18,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,18,41.0,19.0,12.0,29.0
Mińska 25A,18,41.0,19.0,13.0,30.0
Częstochowska 4/6,18,42.0,20.0,11.0,30.0
Ostrobramska 71,18,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,18,42.0,20.0,11.0,30.0
Sardyńska 1,18,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,18,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,18,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,18,42.0,20.0,12.0,30.0
Złota 44,19,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,19,41.0,19.0,12.0,29.0
Mińska 25A,19,41.0,19.0,13.0,30.0
Częstochowska 4/6,19,42.0,20.0,11.0,30.0
Ostrobramska 71,19,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,19,42.0,20.0,11.0,30.0
Sardyńska 1,19,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,19,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,19,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,19,42.0,20.0,12.0,30.0
Złota 44,20,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,20,41.0,19.0,12.0,29.0
Mińska 25A,20,41.0,19.0,13.0,30.0
Częstochowska 4/6,20,42.0,20.0,11.0,30.0
Ostrobramska 71,20,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,20,42.0,20.0,11.0,30.0
Sardyńska 1,20,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,20,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,20,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,20,42.0,20.0,12.0,30.0
Złota 44,21,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,21,41.0,19.0,12.0,29.0
Mińska 25A,21,41.0,19.0,13.0,30.0
Częstochowska 4/6,21,42.0,20.0,11.0,30.0
Ostrobramska 71,21,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,21,42.0,20.0,11.0,30.0
Sardyńska 1,21,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,21,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,21,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,21,42.0,20.0,12.0,30.0
Złota 44,22,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,22,41.0,19.0,12.0,29.0
Mińska 25A,22,41.0,19.0,13.0,30.0
Częstochowska 4/6,22,42.0,20.0,11.0,30.0
Ostrobramska 71,22,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,22,42.0,20.0,11.0,30.0
Sardyńska 1,22,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,22,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,22,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,22,42.0,20.0,12.0,30.0
Złota 44,23,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,23,41.0,19.0,12.0,29.0
Mińska 25A,23,41.0,19.0,13.0,30.0
Częstochowska 4/6,23,42.0,20.0,11.0,30.0
Ostrobramska 71,23,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,23,42.0,20.0,11.0,30.0
Sardyńska 1,23,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,23,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,23,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,23,42.0,20.0,12.0,30.0
Złota 44,24,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,24,41.0,19.0,12.0,29.0
Mińska 25A,24,41.0,19.0,13.0,30.0
Częstochowska 4/6,24,42.0,20.0,11.0,30.0
Ostrobramska 71,24,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,24,42.0,20.0,11.0,30.0
Sardyńska 1,24,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,24,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,24,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,24,42.0,20.0,12.0,30.0
Złota 44,25,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,25,41.0,19.0,12.0,29.0
Mińska 25A,25,41.0,19.0,13.0,30.0
Częstochowska 4/6,25,42.0,20.0,11.0,30.0
Ostrobramska 71,25,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,25,42.0,20.0,11.0,30.0
Sardyńska 1,25,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,25,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,25,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,25,42.0,20.0,12.0,30.0
Złota 44,26,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,26,41.0,19.0,12.0,29.0
Mińska 25A,26,41.0,19.0,13.0,30.0
