,,POTATO,CABBAGE,BEETROOT,CARROT
Bulwary B. Grzymały Siedleckiego,44,42.0,20.0,11.0,30.0
Sardyńska 1,44,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,44,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,44,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,44,42.0,20.0,12.0,30.0
Złota 44,45,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,45,41.0,19.0,12.0,29.0
Mińska 25A,45,41.0,19.0,13.0,30.0
Częstochowska 4/6,45,42.0,20.0,11.0,30.0
Ostrobramska 71,45,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,45,42.0,20.0,11.0,30.0
Sardyńska 1,45,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,45,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,45,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,45,42.0,20.0,12.0,30.0
Złota 44,46,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,46,41.0,19.0,12.0,29.0
Mińska 25A,46,41.0,19.0,13.0,30.0
Częstochowska 4/6,46,42.0,20.0,11.0,30.0
Ostrobramska 71,46,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,46,42.0,20.0,11.0,30.0
Sardyńska 1,46,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,46,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,46,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,46,42.0,20.0,12.0,30.0
Złota 44,47,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,47,41.0,19.0,12.0,29.0
Mińska 25A,47,41.0,19.0,13.0,30.0
Częstochowska 4/6,47,42.0,20.0,11.0,30.0
Ostrobramska 71,47,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,47,42.0,20.0,11.0,30.0
Sardyńska 1,47,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,47,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,47,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,47,42.0,20.0,12.0,30.0
Złota 44,48,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,48,41.0,19.0,12.0,29.0
Mińska 25A,48,41.0,19.0,13.0,30.0
Częstochowska 4/6,48,42.0,20.0,11.0,30.0
Ostrobramska 71,48,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,48,42.0,20.0,11.0,30.0
Sardyńska 1,48,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,48,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,48,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,48,42.0,20.0,12.0,30.0
Złota 44,49,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,49,41.0,19.0,12.0,29.0
Mińska 25A,49,41.0,19.0,13.0,30.0
Częstochowska 4/6,49,42.0,20.0,11.0,30.0
Ostrobramska 71,49,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,49,42.0,20.0,11.0,30.0
Sardyńska 1,49,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,49,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,49,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,49,42.0,20.0,12.0,30.0
Złota 44,50,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,50,41.0,19.0,12.0,29.0
Mińska 25A,50,41.0,19.0,13.0,30.0
Częstochowska 4/6,50,42.0,20.0,11.0,30.0
Ostrobramska 71,50,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,50,42.0,20.0,11.0,30.0
Sardyńska 1,50,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,50,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,50,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,50,42.0,20.0,12.0,30.0
Złota 44,51,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,51,41.0,19.0,12.0,29.0
Mińska 25A,51,41.0,19.0,13.0,30.0
Częstochowska 4/6,51,42.0,20.0,11.0,30.0
Ostrobramska 71,51,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,51,42.0,20.0,11.0,30.0
Sardyńska 1,51,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,51,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,51,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,51,42.0,20.0,12.0,30.0
Złota 44,52,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,52,41.0,19.0,12.0,29.0
Mińska 25A,52,41.0,19.0,13.0,30.0
Częstochowska 4/6,52,42.0,20.0,11.0,30.0
Ostrobramska 71,52,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,52,42.0,20.0,11.0,30.0
Sardyńska 1,52,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,52,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,52,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,52,42.0,20.0,12.0,30.0
